Hardware,Serial Number,Current Price - Yesterday,Delta_From Site
V-GeN TsunamiR DDR4 PC21000 2666Mhz Single Channel 4GB (1x4GB) 16-18-18-35,S9S3V21,292000,20000
V-GeN Rescue DDR3 8GB PC12800,MHJU517,368000,20000
V-GeN Platinum DDR3 8GB PC10600/PC12800 - Low Voltage,e0bbb4cf-59e9-47b3-83a3-01fde7ae4fd1,398000,20000
HP H500GS Virtual 7.1 Wired Gaming Headset (Black),J0YQE20,329000,20000
Seagate 1TB SATA3 - Used & Garansi 1 Th,NV3UW20,365000,20000
Toshiba 2TB SATA3 5400RPM For CCTV - S300 Series,4EAUP21,760000,20000
"SAMSUNG 22"" S22A336 FHD Monitor Ready",EZYPS22,1470000,20000
"Lenovo D19-10 18.5"" LED",ZJN8W19,1200000,19000
Kingston KVR DDR4 3200 MHz (PC 25600) 8GB - KVR32N22S6/8,Y8E7B20,423000,17000
"AOC 21.5"" 22B2HM Frameless FHD",5CF0Z22,1220000,15000
Logitech Brio Stream - 4K webcam with HDR and noise-canceling mic,UV77J22,2405000,15000
"SAMSUNG 24"" S24R350 FHD IPS Bezel-less Design 75Hz Ready Best Seller!!!",XF27M20,1915000,15000
ADATA DDR4 XPG SPECTRIX D50 PC25600 3200MHz 8GB (1X8GB) Single Channel - RGB - AX4U32008G16A-ST50,V4E5F21,474000,14000
"Dahua Commercial Series LM19 19.5"" HD+ Monitor",YTY1H22,885000,10000
"DELL 21.5"" SE2222H FHD Slim Bezel",2A5C622,2090000,10000
ADATA DDR4 XPG SPECTRIX D41 GREY PC25600 3200MHz 8GB (1X8GB) Single Channel - RGB - AX4U32008G16A-ST41,2E6WW21,459000,10000
"WDC 2.5"" 1TB SATA3 64MB - 7200RPM - WD10SPSX - Black",HVU1C17,960000,10000
HP GK400F Wired Gaming Full Mechanical Keyboard Rainbow Led (Blue Switch),WTA9519,290000,10000
"SAMSUNG 23.5"" C24F390 FHD Curved Monitor with FreeSync Ready Best Seller!!!",a6f7f585-2905-4a2f-953a-9d1a221909cc,1740000,10000
Logitech G29 Driving Force,131288bc-9fd7-45f3-9f9b-2610f00ee9d4,3959000,10000
North Bayou NB-P6 Bracket Monitor Wall Mount 45-75 Inch,Nor04MJS22,295000,10000
DBE DJ80 DJ Headphone,FSXFK20,190000,10000
Toshiba 2TB SATA3 256MB 7200RPM - P300 Series Ready,X2SXK22,825000,10000
